"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15357","Deve exibir a seção de itens de features","","Mon Dec 30 17:21:39 BRT 2024","passed","Mon Dec 30 17:21:55 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir a seção de itens de features"
"","2423","Deve exibir o link de marca 8","","Mon Dec 30 17:23:35 BRT 2024","passed","Mon Dec 30 17:23:37 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 8"
"","20256","Deve realizar login, adicionar produto ao carrinho, validar tabela e concluir compra","","Mon Dec 30 17:09:52 BRT 2024","passed","Mon Dec 30 17:10:12 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve realizar login, adicionar produto ao carrinho, validar tabela e concluir compra"
"","2615","Deve medir o tempo de carregamento da página","","Mon Dec 30 17:10:32 BRT 2024","passed","Mon Dec 30 17:10:35 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve medir o tempo de carregamento da página"
"","26067","Deve realizar login na aplicação","","Mon Dec 30 17:18:43 BRT 2024","passed","Mon Dec 30 17:19:09 BRT 2024","","Testes na página de logout - Automation Exercise","Testes na página de logout - Automation Exercise","Deve realizar login na aplicação"
"","6739","Deve cadastrar um novo usuário com dados válidos","","Mon Dec 30 17:24:26 BRT 2024","passed","Mon Dec 30 17:24:33 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve cadastrar um novo usuário com dados válidos"
"","3028","Deve exibir o título da seção de marcas","","Mon Dec 30 17:23:06 BRT 2024","passed","Mon Dec 30 17:23:09 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o título da seção de marcas"
"","1666","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:09:49 BRT 2024","passed","Mon Dec 30 17:09:51 BRT 2024","","Testes na página de carrinho - Automation Exercise","Testes na página de carrinho - Automation Exercise","Deve validar todos os elementos do cabeçalho"
"","5384","Deve validar os links do cabeçalho","","Mon Dec 30 17:12:36 BRT 2024","passed","Mon Dec 30 17:12:41 BRT 2024","","Testes de Header","Testes de Header","Deve validar os links do cabeçalho"
"","3636","Deve exibir o link de marca 3","","Mon Dec 30 17:23:17 BRT 2024","passed","Mon Dec 30 17:23:21 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o link de marca 3"
"","9702","Deve validar a responsividade da página em diferentes tamanhos de tela","","Mon Dec 30 17:18:03 BRT 2024","passed","Mon Dec 30 17:18:12 BRT 2024","","Testes na página de login - Automation Exercise","Testes na página de login - Automation Exercise","Deve validar a responsividade da página em diferentes tamanhos de tela"
"","12666","Deve realizar login e validar que está logado","","Mon Dec 30 17:23:50 BRT 2024","passed","Mon Dec 30 17:24:03 BRT 2024","","Testes de exclusão de conta - Automation Exercise","Testes de exclusão de conta - Automation Exercise","Deve realizar login e validar que está logado"
"","5134","Deve validar os links de navegação","","Mon Dec 30 17:12:31 BRT 2024","passed","Mon Dec 30 17:12:36 BRT 2024","","Testes de Header","Testes de Header","Deve validar os links de navegação"
"","9240","Deve validar a responsividade da página em diferentes tamanhos de tela","","Mon Dec 30 17:10:35 BRT 2024","passed","Mon Dec 30 17:10:44 BRT 2024","","Testes da Página de Contato - Automation Exercise","Testes da Página de Contato - Automation Exercise","Deve validar a responsividade da página em diferentes tamanhos de tela"
"","858","Deve validar todos os elementos do rodapé","","Mon Dec 30 17:24:25 BRT 2024","passed","Mon Dec 30 17:24:26 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve validar todos os elementos do rodapé"
"","2623","Deve validar o título da página","","Mon Dec 30 17:21:15 BRT 2024","passed","Mon Dec 30 17:21:18 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve validar o título da página"
"","3594","Deve exibir o primeiro item da barra lateral","","Mon Dec 30 17:22:37 BRT 2024","passed","Mon Dec 30 17:22:41 BRT 2024","","Testes da Página Inicial - Automation Exercise","Testes da Página Inicial - Automation Exercise","Deve exibir o primeiro item da barra lateral"
"","3972","Deve validar o layout responsivo","","Mon Dec 30 17:24:39 BRT 2024","passed","Mon Dec 30 17:24:43 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve validar o layout responsivo"
"","1647","Deve validar todos os elementos do cabeçalho","","Mon Dec 30 17:24:23 BRT 2024","passed","Mon Dec 30 17:24:25 BRT 2024","","Testes na página de cadastro - Automation Exercise","Testes na página de cadastro - Automation Exercise","Deve validar todos os elementos do cabeçalho"
